feature_name,weight,abs_weight,rank
latent_3519,-0.164255,0.164255,1
latent_515,-0.11978662,0.11978662,2
latent_382,-0.11794753,0.11794753,3
latent_2371,-0.09712789,0.09712789,4
latent_1894,0.08085597,0.08085597,5
latent_3825,0.06458772,0.06458772,6
latent_1291,0.04996924,0.04996924,7
latent_4052,-0.042000625,0.042000625,8
latent_3501,-0.040753774,0.040753774,9
latent_1668,-0.03496393,0.03496393,10
latent_1491,0.02570089,0.02570089,11
latent_1025,0.025226446,0.025226446,12
latent_2243,-0.020021128,0.020021128,13
latent_4037,0.018810509,0.018810509,14
latent_2134,0.018701969,0.018701969,15
latent_3273,0.018293258,0.018293258,16
latent_27,-0.018093152,0.018093152,17
latent_1245,0.01797212,0.01797212,18
latent_178,0.017052397,0.017052397,19
latent_157,0.01677439,0.01677439,20
latent_2713,-0.016761398,0.016761398,21
latent_462,0.016063256,0.016063256,22
latent_2143,-0.015977444,0.015977444,23
latent_2205,0.01542419,0.01542419,24
latent_1502,0.015398171,0.015398171,25
latent_2704,0.014530343,0.014530343,26
latent_3338,-0.014454636,0.014454636,27
latent_2101,0.014060329,0.014060329,28
latent_1985,0.013966787,0.013966787,29
latent_1203,-0.013933048,0.013933048,30
latent_2762,-0.013637131,0.013637131,31
latent_3142,0.01362923,0.01362923,32
latent_999,0.013465931,0.013465931,33
latent_2083,-0.013294891,0.013294891,34
latent_1160,-0.012979569,0.012979569,35
latent_2084,0.012883979,0.012883979,36
latent_2056,0.012780293,0.012780293,37
latent_809,0.012766733,0.012766733,38
latent_1080,0.012656497,0.012656497,39
latent_4076,0.012336481,0.012336481,40
latent_1874,0.012246694,0.012246694,41
latent_31,0.01209051,0.01209051,42
latent_1812,-0.011982889,0.011982889,43
latent_3097,0.011816805,0.011816805,44
latent_2301,0.011662968,0.011662968,45
latent_2765,0.01163984,0.01163984,46
latent_55,-0.011630049,0.011630049,47
latent_672,0.011582567,0.011582567,48
latent_1041,-0.01143772,0.01143772,49
latent_3685,0.011331342,0.011331342,50
latent_321,0.011165002,0.011165002,51
latent_3781,0.011101384,0.011101384,52
latent_335,0.01107432,0.01107432,53
latent_430,-0.011040164,0.011040164,54
latent_1756,0.010962178,0.010962178,55
latent_1457,0.0109570185,0.0109570185,56
latent_3762,0.01092728,0.01092728,57
latent_2577,0.010902113,0.010902113,58
latent_3791,0.010774699,0.010774699,59
latent_2440,0.010774253,0.010774253,60
latent_3899,0.010758521,0.010758521,61
latent_2955,0.010724971,0.010724971,62
latent_870,0.010611637,0.010611637,63
latent_1699,0.010547678,0.010547678,64
latent_3224,0.010542477,0.010542477,65
latent_1296,0.010411666,0.010411666,66
latent_450,0.010391742,0.010391742,67
latent_1411,0.010355339,0.010355339,68
latent_1640,0.010198574,0.010198574,69
latent_2499,0.010165552,0.010165552,70
latent_1278,0.010164556,0.010164556,71
latent_2804,0.010045621,0.010045621,72
latent_325,0.010008854,0.010008854,73
latent_995,0.009907219,0.009907219,74
latent_2706,0.009812794,0.009812794,75
latent_3011,0.009808897,0.009808897,76
latent_3150,0.009800951,0.009800951,77
latent_3567,0.009620573,0.009620573,78
latent_2077,0.009594828,0.009594828,79
latent_1755,0.009577381,0.009577381,80
latent_54,-0.009574473,0.009574473,81
latent_3553,0.009522316,0.009522316,82
latent_146,0.00951811,0.00951811,83
latent_1111,0.009514883,0.009514883,84
latent_4017,0.0092850225,0.0092850225,85
latent_314,0.00928238,0.00928238,86
latent_1283,0.00918723,0.00918723,87
latent_2603,-0.00918709,0.00918709,88
latent_488,0.009103469,0.009103469,89
latent_2408,0.009091303,0.009091303,90
latent_2854,-0.009072736,0.009072736,91
latent_681,0.009038615,0.009038615,92
