feature_name,weight,abs_weight,rank
latent_515,-0.112845466,0.112845466,1
latent_1668,-0.10374663,0.10374663,2
latent_1894,-0.10330002,0.10330002,3
latent_3664,0.06971269,0.06971269,4
latent_3080,0.046612676,0.046612676,5
latent_2143,0.041978076,0.041978076,6
latent_459,-0.04020096,0.04020096,7
latent_1025,-0.039279863,0.039279863,8
latent_3825,0.03337744,0.03337744,9
latent_3011,0.03143324,0.03143324,10
latent_3501,0.031256456,0.031256456,11
latent_4052,0.028714558,0.028714558,12
latent_2497,0.0283977,0.0283977,13
latent_1495,0.025383053,0.025383053,14
latent_3829,0.025299313,0.025299313,15
latent_2134,0.024313059,0.024313059,16
latent_3443,-0.02428996,0.02428996,17
latent_3052,0.02245234,0.02245234,18
latent_1041,0.02203784,0.02203784,19
latent_3586,-0.018117722,0.018117722,20
latent_3103,0.017399186,0.017399186,21
latent_985,-0.01690043,0.01690043,22
latent_689,-0.016716808,0.016716808,23
latent_250,-0.015473374,0.015473374,24
latent_4089,-0.0153558785,0.0153558785,25
latent_1493,0.015096786,0.015096786,26
latent_1812,0.01481399,0.01481399,27
latent_3273,-0.014685971,0.014685971,28
latent_3152,-0.0141461985,0.0141461985,29
latent_2713,-0.013534447,0.013534447,30
latent_2839,-0.013355147,0.013355147,31
latent_430,0.013142693,0.013142693,32
latent_3073,-0.012732739,0.012732739,33
latent_2145,0.012409393,0.012409393,34
latent_1171,0.012343508,0.012343508,35
latent_3519,0.012264909,0.012264909,36
latent_2065,-0.011879285,0.011879285,37
latent_1160,-0.011844429,0.011844429,38
latent_2041,-0.011221259,0.011221259,39
latent_382,0.011131923,0.011131923,40
latent_1291,0.011044649,0.011044649,41
latent_3565,-0.011000076,0.011000076,42
latent_1402,-0.0108744595,0.0108744595,43
latent_3962,0.010181619,0.010181619,44
latent_55,-0.009796716,0.009796716,45
latent_3860,-0.009765726,0.009765726,46
latent_3087,0.009487165,0.009487165,47
latent_2101,-0.009460824,0.009460824,48
latent_2762,0.009418096,0.009418096,49
latent_2910,0.00933025,0.00933025,50
latent_3072,-0.009150318,0.009150318,51
latent_2450,0.00913435,0.00913435,52
latent_2804,0.00876705,0.00876705,53
latent_1063,-0.008284722,0.008284722,54
latent_3311,-0.0075802235,0.0075802235,55
latent_2863,0.0074219513,0.0074219513,56
latent_1454,0.0074093724,0.0074093724,57
latent_1785,-0.0072151534,0.0072151534,58
latent_3472,-0.007068204,0.007068204,59
latent_1578,-0.0069894604,0.0069894604,60
latent_1939,0.0069714803,0.0069714803,61
latent_4027,0.006912043,0.006912043,62
latent_3338,0.006604525,0.006604525,63
latent_3242,0.006407655,0.006407655,64
latent_1985,0.0063777864,0.0063777864,65
latent_2247,0.0063696997,0.0063696997,66
latent_3068,-0.0062814197,0.0062814197,67
latent_2985,-0.006098246,0.006098246,68
latent_306,0.006087093,0.006087093,69
